@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: MF625 |Insert Identify debug core
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5212:28:5212:61|Connected syn_hyper_connect ident_coreinst.ident_hyperc_mac_mii_tx_er_IICE_25, tag m2s010_som_sb_0.m2s010_som_sb_MSS_0.mac_mii_tx_er
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5205:28:5205:62|Connected syn_hyper_connect ident_coreinst.ident_hyperc_mac_mii_mdo_en_IICE_24, tag m2s010_som_sb_0.m2s010_som_sb_MSS_0.mac_mii_mdo_en
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5198:28:5198:59|Connected syn_hyper_connect ident_coreinst.ident_hyperc_mac_mii_mdo_IICE_23, tag m2s010_som_sb_0.m2s010_som_sb_MSS_0.mac_mii_mdo
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5191:28:5191:58|Connected syn_hyper_connect ident_coreinst.ident_hyperc_m3_reset_n_IICE_21, tag m2s010_som_sb_0.m2s010_som_sb_MSS_0.m3_reset_n
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5184:28:5184:59|Connected syn_hyper_connect ident_coreinst.ident_hyperc_mac_mii_mdi_IICE_22, tag m2s010_som_sb_0.mac_mii_mdi
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5177:28:5177:60|Connected syn_hyper_connect ident_coreinst.ident_hyperc_mii_dbg_phyn_IICE_29, tag CommsFPGA_top_0.Phy_Mux_Inst.mii_dbg_phyn
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5170:28:5170:53|Connected syn_hyper_connect ident_coreinst.ident_hyperc_d_txd_IICE_16, tag CommsFPGA_top_0.Phy_Mux_Inst.d_txd
@N: BN397 :"c:\users\gcallsen\documents\githubbf\ppi.soc.fpgav2.0\synthesis\phy_1_debug\instr_sources\syn_dics.v":5163:28:5163:52|Connected syn_hyper_connect ident_coreinst.ident_hyperc_d_mdc_IICE_3, tag CommsFPGA_top_0.Phy_Mux_Inst.d_mdc
